,"measured value, xi",y,"deviation, di=xi-x","deviation squared, (di)^2",fit,(y-fit)^2
,1,141,-299,89401,56.05934805,7214.914353
,2,,-298,88804,56.62182591,3206.03117
,3,145,-297,88209,57.18803472,7710.941247
,4,,-296,87616,57.75797372,3335.983528
,5,147,-295,87025,58.33164177,7862.077752
,6,,-294,86436,58.90903735,3470.274681
,7,150,-293,85849,59.49015854,8192.031402
,8,,-292,85264,60.07500303,3609.005989
,9,150,-291,84681,60.66356811,7980.998063
,10,,-290,84100,61.25585067,3752.279241
,11,156,-289,83521,61.85184719,8863.874677
,12,,-288,82944,62.45155375,3900.196566
,13,162,-287,82369,63.05496601,9790.119751
,14,,-286,81796,63.66207922,4052.860331
,15,171,-285,81225,64.27288821,11390.67639
,16,,-284,80656,64.88738737,4210.37304
,17,172,-283,80089,65.5055707,11341.06347
,18,,-282,79524,66.12743174,4372.837229
,19,177,-281,78961,66.75296362,12154.40903
,20,,-280,78400,67.38215901,4540.355352
,21,179,-279,77841,68.01501016,12317.66797
,22,,-278,77284,68.65150888,4713.029671
,23,183,-277,76729,69.29164652,12929.58965
,24,,-276,76176,69.935414,4890.962132
,25,185,-275,75625,70.58280178,13091.29525
,26,,-274,75076,71.23379987,5074.254244
,27,190,-273,74529,71.88839782,13950.35057
,28,,-272,73984,72.54658472,5263.006955
,29,191,-271,73441,73.20834921,13874.873
,30,,-270,72900,73.87367944,5457.320514
,31,193,-269,72361,74.54256313,14032.16435
,32,,-268,71824,75.21498749,5657.294343
,33,195,-267,71289,75.89093929,14186.96834
,34,,-266,70756,76.57040481,5863.026893
,35,198,-265,70225,77.25336986,14579.74869
,36,,-264,69696,77.93981976,6074.615503
,37,200,-263,69169,78.62973935,14730.74017
,38,,-262,68644,79.323113,6292.156255
,39,203,-261,68121,80.01992457,15124.09895
,40,,-260,67600,80.72015747,6515.743821
,41,201,-259,67081,81.42379457,14298.46891
,42,,-258,66564,82.13081828,6745.471312
,43,201,-257,66049,82.84121052,13961.49953
,44,,-256,65536,83.55495268,6981.430118
,45,203,-255,65025,84.2720257,14096.33188
,46,,-254,64516,84.99240997,7223.709752
,47,205,-253,64009,85.71608542,14228.65228
,48,,-252,63504,86.44303145,7472.397685
,49,206,-251,63001,87.17322696,14119.80199
,50,,-250,62500,87.90665037,7727.579179
,51,206,-249,62001,88.64327955,13772.59983
,52,,-248,61504,89.3830919,7989.337117
,53,207,-247,61009,90.12606428,13659.51685
,54,,-246,60516,90.87217306,8257.751836
,55,208,-245,60025,91.62139408,13543.97991
,56,,-244,59536,92.3737027,8532.90095
,57,207,-243,59049,93.12907372,12966.58785
,58,,-242,58564,93.88748146,8814.859175
,59,206,-241,58081,94.64889971,12399.06754
,60,,-240,57600,95.41330175,9103.69815
,61,208,-239,57121,96.18066033,12503.56472
,62,,-238,56644,96.9509477,9399.48626
,63,210,-237,56169,97.72413559,12605.86973
,64,,-236,55696,98.50019519,9702.288453
,65,209,-235,55225,99.2790972,12038.67651
,66,,-234,54756,100.0608118,10012.16606
,67,206,-233,54289,100.8453086,11057.50912
,68,,-232,53824,101.6325568,10329.1766
,69,206,-231,53361,102.4225249,10728.29334
,70,,-230,52900,103.2151812,10653.37362
,71,206,-229,52441,104.010493,10401.85953
